lead_author,sample_size,female_sex_percent,data_source,date_published,country,median_age,mean_age,iqr_lower,iqr_upper,lower_range,upper_range,standard_deviation,current_smoker,former_smoker,current_former_smoker,never_smoker,never_smoker_unknown,not_stated,missing,total
guan_ni,1099,41.9,not_stated,2020-02-28,china,47,NA,35,58,NA,NA,NA,137,21,NA,927,NA,NA,14,1099
guan_liang,1590,42.699999999999996,not_stated,2020-03-26,china,49,NA,33,64,NA,NA,NA,NA,NA,111,1479,NA,NA,NA,1590
lian,788,38.5,not_stated,2020-03-25,china,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,734,NA,788
jin,651,49.2,not_stated,2020-03-24,china,46,NA,32,60,NA,NA,NA,41,NA,NA,NA,NA,610,NA,651
chen,548,37.6,not_stated,2020-03-26,china,62,NA,44,70,NA,NA,NA,24,14,NA,NA,NA,510,NA,548
zhou_yu,191,38,not_stated,2020-03-11,china,56,NA,46,67,NA,NA,NA,11,NA,NA,NA,NA,180,NA,191
mo,155,44.5,case_report_form,2020-03-16,china,54,NA,53,66,NA,NA,NA,6,NA,NA,NA,NA,149,NA,155
zhang_dong,140,46.300000000000004,electronic_health_records,2020-02-19,china,NA,57,NA,NA,25,87,NA,2,7,NA,NA,NA,131,NA,140
wan,135,46.7,electronic_health_records,2020-03-21,china,47,NA,36,55,NA,NA,NA,9,NA,NA,NA,NA,126,NA,135
liu_tao,78,50,case_report_form,2020-02-28,china,38,NA,33,57,NA,NA,NA,NA,NA,5,NA,NA,73,NA,78
huang_wang,41,27,electronic_health_records,2020-01-24,china,49,NA,41,58,NA,NA,NA,3,NA,NA,NA,NA,38,NA,41
zhang_cai,645,49.1,electronic_health_records,2020-03-20,china,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,604,NA,645
guo,187,51.300000000000004,electronic_health_records,2020-03-27,china,59,NA,45,73,NA,NA,NA,18,NA,NA,NA,NA,169,NA,187
liu_ming,41,58.5,electronic_health_records,2020-03-12,china,39,NA,30,48,NA,NA,NA,4,NA,NA,NA,NA,37,NA,41
huang_yang,36,30.599999999999998,not_stated,2020-03-05,china,69,NA,60,78,NA,NA,NA,NA,NA,4,NA,NA,32,NA,36
xu,53,47.199999999999996,electronic_health_records,2020-03-08,china,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,47,NA,53
li,17,47.099999999999994,electronic_health_records,2020-02-12,china,45,NA,33,57,NA,NA,NA,3,NA,NA,NA,NA,14,NA,17
rentsch,3528,4.6,electronic_health_records,2020-04-14,usa,66,NA,60,70,NA,NA,NA,159,179,NA,216,NA,NA,31,585
hu,323,48.6,not_stated,2020-03-25,china,NA,61,NA,NA,23,91,NA,NA,NA,38,NA,NA,285,NA,323
