lead_author,sample_size,data_disease_severity,sample_with_severity,non_severe_disease,non_severe_current_smoker,non_severe_former_smoker,non_severe_current_former_smoker,non_severe_never_smoker,non_severe_never_unknown_smoker,non_severe_not_stated,severe_disease_number,severe_disease_current_smoker,severe_disease_former_smoker,severe_disease_current_former_smoker,severe_disease_never_smoker,severe_disease_never_unknown,severe_disease_not_stated
guan_ni,1099,TRUE,1085,913,108,12,NA,793,NA,NA,172,29,9,NA,134,NA,NA
zhang_dong,140,TRUE,9,3,0,3,NA,0,NA,NA,6,2,4,NA,0,NA,NA
wan,135,TRUE,9,8,8,0,NA,0,NA,NA,1,1,0,NA,0,NA,NA
huang_wang,41,TRUE,3,3,3,0,NA,0,NA,NA,0,0,0,NA,0,NA,NA
rentsch,3528,TRUE,285,168,47,53,NA,68,NA,NA,117,43,36,NA,38,NA,NA
hu,323,TRUE,323,151,NA,NA,12,NA,139,NA,172,NA,NA,26,NA,146,NA
wang_pan,125,TRUE,125,100,NA,NA,9,NA,91,NA,25,NA,NA,7,NA,18,NA
petrilli,4103,TRUE,1278,932,62,175,NA,NA,391,NA,650,28,145,NA,NA,477,NA
kim,28,TRUE,27,21,3,NA,NA,NA,18,NA,6,2,0,NA,NA,4,NA
shi_yu,487,TRUE,474,425,NA,NA,34,NA,391,NA,49,NA,NA,6,NA,43,NA
liao_feng,1848,TRUE,148,92,NA,NA,5,NA,NA,87,56,3,NA,NA,NA,NA,53
shi_ren,134,TRUE,134,88,NA,NA,8,NA,NA,80,46,NA,NA,6,NA,NA,40
hadjadj,50,TRUE,50,15,1,2,NA,12,NA,NA,35,0,7,NA,28,NA,NA
zheng_xiong,73,TRUE,73,43,NA,NA,6,37,NA,NA,30,NA,NA,2,28,NA,NA
de_la_rica,48,TRUE,48,26,NA,NA,6,NA,NA,20,20,NA,NA,4,NA,NA,16
yin_yang,106,TRUE,106,47,NA,NA,6,NA,NA,41,59,NA,NA,12,NA,NA,47
allenbach,152,TRUE,147,100,NA,NA,9,NA,NA,91,47,NA,NA,0,NA,NA,47
goyal,393,TRUE,393,263,14,NA,NA,NA,NA,249,130,6,NA,NA,NA,NA,124
feng,476,TRUE,471,352,27,NA,NA,NA,NA,325,124,17,NA,NA,NA,NA,107
yao,108,TRUE,108,83,1,NA,NA,NA,NA,82,25,3,NA,NA,NA,NA,22
sami,490,TRUE,490,400,53,NA,NA,NA,NA,347,90,16,NA,NA,NA,NA,74
regina,200,TRUE,200,163,9,NA,NA,NA,NA,154,37,0,NA,NA,NA,NA,37
