lead_author,date_published,country,sample_size,study_setting,median_age,iqr_lower,iqr_upper,mean_age,lower_range,upper_range,standard_deviation,female_sex_percent,current_percentage,former_percentage,current_former_percentage,never_smoker_percentage,never_smoker_unknown_percentage,not_stated_percentage,missing_percentage
guan_ni,2020-02-28,china,1099,hospital,47,35,58,NA,NA,NA,NA,41.9,12.465878070973613,1.910828025477707,NA,84.3494085532302,NA,NA,1.2738853503184715
guan_liang,2020-03-26,china,1590,hospital,49,33,64,NA,NA,NA,NA,42.699999999999996,NA,NA,6.981132075471698,93.01886792452831,NA,NA,NA
lian,2020-03-25,china,788,hospital,NA,NA,NA,NA,NA,NA,NA,38.5,6.852791878172589,NA,NA,NA,NA,93.1472081218274,NA
jin,2020-03-24,china,651,hospital,46,32,60,NA,NA,NA,NA,49.2,6.29800307219662,NA,NA,NA,NA,93.70199692780338,NA
chen,2020-03-26,china,548,hospital,62,44,70,NA,NA,NA,NA,37.6,4.37956204379562,2.5547445255474455,NA,NA,NA,93.06569343065694,NA
zhou_yu,2020-03-11,china,191,hospital,56,46,67,NA,NA,NA,NA,38,5.7591623036649215,NA,NA,NA,NA,94.24083769633508,NA
mo,2020-03-16,china,155,hospital,54,53,66,NA,NA,NA,NA,44.5,3.870967741935484,NA,NA,NA,NA,96.12903225806451,NA
zhang_dong,2020-02-19,china,140,hospital,NA,NA,NA,57,25,87,NA,46.300000000000004,1.4285714285714286,5,NA,NA,NA,93.57142857142857,NA
wan,2020-03-21,china,135,hospital,47,36,55,NA,NA,NA,NA,46.7,6.666666666666667,NA,NA,NA,NA,93.33333333333333,NA
liu_tao,2020-02-28,china,78,hospital,38,33,57,NA,NA,NA,NA,50,NA,NA,6.41025641025641,NA,NA,93.58974358974359,NA
huang_wang,2020-01-24,china,41,hospital,49,41,58,NA,NA,NA,NA,27,7.317073170731707,NA,NA,NA,NA,92.6829268292683,NA
zhang_cai,2020-03-20,china,645,hospital,NA,NA,NA,NA,NA,NA,NA,49.1,6.3565891472868215,NA,NA,NA,NA,93.64341085271319,NA
guo,2020-03-27,china,187,hospital,59,45,73,NA,NA,NA,NA,51.300000000000004,9.62566844919786,NA,NA,NA,NA,90.37433155080214,NA
liu_ming,2020-03-12,china,41,hospital,39,30,48,NA,NA,NA,NA,58.5,9.75609756097561,NA,NA,NA,NA,90.2439024390244,NA
huang_yang,2020-03-05,china,36,hospital,69,60,78,NA,NA,NA,NA,30.599999999999998,NA,NA,11.11111111111111,NA,NA,88.88888888888889,NA
xu,2020-03-08,china,53,hospital,NA,NA,NA,NA,NA,NA,NA,47.199999999999996,11.320754716981133,NA,NA,NA,NA,88.67924528301887,NA
li,2020-02-12,china,17,hospital,45,33,57,NA,NA,NA,NA,47.099999999999994,17.647058823529413,NA,NA,NA,NA,82.35294117647058,NA
rentsch,2020-04-14,usa,3528,community_and_hospital,66,60,70,NA,NA,NA,NA,4.6,27.17948717948718,30.5982905982906,NA,36.92307692307693,NA,NA,5.299145299145299
hu,2020-03-25,china,323,hospital,NA,NA,NA,61,23,91,NA,48.6,NA,NA,11.76470588235294,NA,NA,88.23529411764706,NA
wang_pan,2020-03-24,china,125,hospital,41,26,66,NA,NA,NA,NA,43.2,NA,NA,12.8,NA,NA,87.2,NA
