lead_author,sample,non_severe_disease,non_severe_disease_percentage,non_severe_current_smoker,non_severe_current_smoker_percent,non_severe_former_smoker,non_severe_former_smoker_percent,non_severe_current_former_smoker,non_severe_current_former_smoker_percent,non_severe_never_smoker,non_severe_never_smoker_percent,non_severe_never_unknown_smoker,non_severe_never_unknown_smoker_percent,non_severe_not_stated,non_severe_not_stated_percent,severe_disease_number,severe_disease_number_percent,severe_disease_current_smoker,severe_disease_current_smoker_percent,severe_disease_former_smoker,severe_disease_former_smoker_percent,severe_disease_current_former_smoker,severe_disease_current_former_smoker_percent,severe_disease_never_smoker,severe_disease_never_smoker_percent,severe_disease_never_unknown,severe_disease_never_unknown_percent,severe_disease_not_stated,severe_disease_not_stated_percent
guan_ni,1085,913,84.14746543778801,108,11.829134720700987,12,1.3143483023001095,NA,NA,793,86.8565169769989,NA,NA,NA,NA,172,15.85253456221198,29,16.86046511627907,9,5.232558139534884,NA,NA,134,77.90697674418605,NA,NA,NA,NA
zhang_dong,9,3,33.33333333333333,0,0,3,100,NA,NA,0,0,NA,NA,NA,NA,6,66.66666666666666,2,33.33333333333333,4,66.66666666666666,NA,NA,0,0,NA,NA,NA,NA
wan,9,8,88.88888888888889,8,100,0,0,NA,NA,0,0,NA,NA,NA,NA,1,11.11111111111111,1,100,0,0,NA,NA,0,0,NA,NA,NA,NA
huang_wang,3,3,100,3,100,0,0,NA,NA,0,0,NA,NA,NA,NA,0,0,0,NaN,0,NaN,NA,NA,0,NaN,NA,NA,NA,NA
rentsch,285,168,58.94736842105262,47,27.976190476190478,53,31.547619047619047,NA,NA,68,40.476190476190474,NA,NA,NA,NA,117,41.05263157894737,43,36.75213675213676,36,30.76923076923077,NA,NA,38,32.47863247863248,NA,NA,NA,NA
hu,323,151,46.749226006191954,NA,NA,NA,NA,12,7.9470198675496695,NA,NA,139,92.05298013245033,NA,NA,172,53.25077399380805,NA,NA,NA,NA,26,15.11627906976744,NA,NA,146,84.88372093023256,NA,NA
wang_pan,125,100,80,NA,NA,NA,NA,9,9,NA,NA,91,91,NA,NA,25,20,NA,NA,NA,NA,7,28.000000000000004,NA,NA,18,72,NA,NA
petrilli,1278,932,72.9264475743349,62,6.652360515021459,175,18.776824034334762,NA,NA,NA,NA,391,41.952789699570815,NA,NA,650,50.86071987480438,28,4.3076923076923075,145,22.30769230769231,NA,NA,NA,NA,477,73.38461538461539,NA,NA
kim,27,21,77.77777777777779,3,14.285714285714285,NA,NA,NA,NA,NA,NA,18,85.71428571428571,NA,NA,6,22.22222222222222,2,33.33333333333333,0,0,NA,NA,NA,NA,4,66.66666666666666,NA,NA
shi_yu,474,425,89.66244725738397,NA,NA,NA,NA,34,8,NA,NA,391,92,NA,NA,49,10.337552742616033,NA,NA,NA,NA,6,12.244897959183673,NA,NA,43,87.75510204081633,NA,NA
liao_feng,148,92,62.16216216216216,NA,NA,NA,NA,5,5.434782608695652,NA,NA,NA,NA,87,94.56521739130434,56,37.83783783783784,3,5.357142857142857,NA,NA,NA,NA,NA,NA,NA,NA,53,94.64285714285714
shi_ren,134,88,65.67164179104478,NA,NA,NA,NA,8,9.090909090909092,NA,NA,NA,NA,80,90.9090909090909,46,34.32835820895522,NA,NA,NA,NA,6,13.043478260869565,NA,NA,NA,NA,40,86.95652173913044
hadjadj,50,15,30,1,6.666666666666667,2,13.333333333333334,NA,NA,12,80,NA,NA,NA,NA,35,70,0,0,7,20,NA,NA,28,80,NA,NA,NA,NA
zheng_xiong,73,43,58.9041095890411,NA,NA,NA,NA,6,13.953488372093023,37,86.04651162790698,NA,NA,NA,NA,30,41.0958904109589,NA,NA,NA,NA,2,6.666666666666667,28,93.33333333333333,NA,NA,NA,NA
de_la_rica,48,26,54.166666666666664,NA,NA,NA,NA,6,23.076923076923077,NA,NA,NA,NA,20,76.92307692307693,20,41.66666666666667,NA,NA,NA,NA,4,20,NA,NA,NA,NA,16,80
yin_yang,106,47,44.339622641509436,NA,NA,NA,NA,6,12.76595744680851,NA,NA,NA,NA,41,87.2340425531915,59,55.660377358490564,NA,NA,NA,NA,12,20.33898305084746,NA,NA,NA,NA,47,79.66101694915254
allenbach,147,100,68.02721088435374,NA,NA,NA,NA,9,9,NA,NA,NA,NA,91,91,47,31.97278911564626,NA,NA,NA,NA,0,0,NA,NA,NA,NA,47,100
goyal,393,263,66.92111959287533,14,5.323193916349809,NA,NA,NA,NA,NA,NA,NA,NA,249,94.67680608365019,130,33.078880407124686,6,4.615384615384616,NA,NA,NA,NA,NA,NA,NA,NA,124,95.38461538461539
feng,471,352,74.73460721868365,27,7.670454545454546,NA,NA,NA,NA,NA,NA,NA,NA,325,92.32954545454545,124,26.326963906581742,17,13.709677419354838,NA,NA,NA,NA,NA,NA,NA,NA,107,86.29032258064517
yao,108,83,76.85185185185185,1,1.2048192771084338,NA,NA,NA,NA,NA,NA,NA,NA,82,98.79518072289156,25,23.14814814814815,3,12,NA,NA,NA,NA,NA,NA,NA,NA,22,88
sami,490,400,81.63265306122449,53,13.25,NA,NA,NA,NA,NA,NA,NA,NA,347,86.75,90,18.367346938775512,16,17.77777777777778,NA,NA,NA,NA,NA,NA,NA,NA,74,82.22222222222221
regina,200,163,81.5,9,5.521472392638037,NA,NA,NA,NA,NA,NA,NA,NA,154,94.47852760736197,37,18.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,37,100
